"","ISO","year","Dummy_Earthquake","Dummy_Drought"
"677","ECU",2016,1,0
"678","SOM",2014,0,1
"679","JAM",2014,0,1
"680","SEN",2014,0,1
"681","MDG",2014,0,1
"682","IRN",2014,1,0
"683","IRN",2014,1,0
"684","JPN",2014,1,0
"685","KEN",2014,0,1
"686","LKA",2014,0,1
"687","MEX",2014,1,0
"688","MEX",2014,1,0
"689","MYS",2014,0,1
"690","NIC",2014,1,0
"691","NIC",2014,0,1
"692","PER",2014,1,0
"693","SLV",2014,0,1
"694","THA",2014,1,0
"695","THA",2014,0,1
"696","IDN",2015,0,1
"697","MYS",2015,1,0
"698","NPL",2015,1,0
"699","NPL",2015,1,0
"700","PNG",2015,0,1
"701","MWI",2015,0,1
"702","NAM",2015,0,1
"703","NER",2015,0,1
"704","SDN",2015,0,1
"705","SOM",2015,0,1
"706","IDN",2015,1,0
"707","IND",2015,1,0
"708","IND",2015,1,0
"709","IND",2015,1,0
"710","IND",2015,0,1
"711","KGZ",2015,1,0
"712","PAK",2015,1,0
"713","PAK",2015,1,0
"714","PAN",2015,0,1
"715","PHL",2015,0,1
"716","PRK",2015,0,1
"717","SLB",2015,0,1
"718","THA",2015,0,1
"719","TJK",2015,1,0
"720","KHM",2016,0,1
"721","LSO",2016,0,1
"722","MDG",2016,0,1
"723","MOZ",2016,0,1
"724","IDN",2016,1,0
"725","IND",2016,1,0
"726","ITA",2016,1,0
"727","JPN",2016,1,0
"728","JPN",2016,1,0
"729","PAK",2016,1,0
"730","PER",2016,1,0
"731","PRY",2016,0,1
"732","SWZ",2016,0,1
"733","TJK",2016,1,0
"734","ZWE",2013,0,1
"735","USA",2014,1,0
"736","TUR",2014,1,0
"737","USA",2014,0,1
"738","ZAF",2014,1,0
"739","ZAF",2015,0,1
"740","TON",2015,0,1
"741","USA",2015,0,1
"742","VNM",2015,0,1
"743","WSM",2015,0,1
"744","COD",2015,1,0
"745","TLS",2015,1,0
"746","CHN",2016,0,1
"747","TWN",2016,1,0
"748","BOL",2016,0,1
"749","SSD",2016,0,1
"750","TLS",2016,0,1
"751","CHN",2016,1,0
"752","CHN",2016,1,0
"753","CHN",2016,1,0
"754","FSM",2016,0,1
"755","CHN",2017,1,0
"756","GRC",2017,1,0
"757","GRC",2017,1,0
"758","AGO",2017,0,1
"759","CHN",2017,1,0
"760","CHN",2017,1,0
"761","CHN",2017,1,0
"762","CHN",2017,0,1
"763","GTM",2017,1,0
"764","AFG",2018,0,1
"765","ARG",2018,0,1
"766","AUS",2018,0,1
"767","CHN",2018,1,0
"768","CHN",2018,1,0
"769","CRI",2018,0,1
"770","GTM",2018,0,1
"771","ALB",2019,1,0
"772","CHL",2019,1,0
"773","CHN",2019,1,0
"774","CHN",2019,1,0
"775","ECU",2019,1,0
"776","MHL",2015,0,1
"777","NZL",2016,1,0
"778","KEN",2016,0,1
"779","IDN",2016,1,0
"780","IDN",2016,1,0
"781","ITA",2016,1,0
"782","ITA",2016,1,0
"783","JPN",2016,1,0
"784","KOR",2016,1,0
"785","LKA",2016,0,1
"786","MKD",2016,1,0
"787","MMR",2016,1,0
"788","PER",2016,1,0
"789","PHL",2016,1,0
"790","MEX",2017,1,0
"791","MEX",2017,1,0
"792","PHL",2017,1,0
"793","MDG",2017,0,1
"794","MRT",2017,0,1
"795","NER",2017,0,1
"796","ITA",2017,1,0
"797","IDN",2017,1,0
"798","IRN",2017,1,0
"799","IRN",2017,1,0
"800","IRN",2017,1,0
"801","IRQ",2017,1,0
"802","ITA",2017,1,0
"803","ITA",2017,0,1
"804","KGZ",2017,1,0
"805","KOR",2017,1,0
"806","PHL",2017,1,0
"807","PHL",2017,1,0
"808","PRK",2017,0,1
"809","IDN",2018,1,0
"810","JPN",2018,1,0
"811","PNG",2018,1,0
"812","IDN",2018,1,0
"813","NAM",2018,0,1
"814","HND",2018,0,1
"815","HTI",2018,1,0
"816","IDN",2018,1,0
"817","IDN",2018,1,0
"818","IDN",2018,1,0
"819","IND",2018,0,1
"820","IRN",2018,1,0
"821","IRN",2018,1,0
"822","IRN",2018,1,0
"823","JPN",2018,1,0
"824","LTU",2018,0,1
"825","MEX",2018,1,0
"826","MRT",2018,0,1
"827","NIC",2018,0,1
"828","PAN",2018,0,1
"829","PER",2018,1,0
"830","PNG",2018,1,0
"831","PNG",2018,1,0
